sfreq,ch_a,ch_b,corr
512.0,EEG C3,EEG P3,0.9326694664247414
512.0,EEG C3,EEG Fc1,0.9308871731982393
512.0,EEG C3,EEG Fc5,0.9391699576459814
512.0,EEG C3,EEG Cp1,0.9479450987313915
512.0,EEG C3,EEG Cp5,0.9299511882310577
512.0,EEG C3,EEG Cz,0.9035332199605483
512.0,EEG C3,EEG Cp2,0.920069090407467
512.0,EEG P3,EEG Cp1,0.951204393898675
512.0,EEG P3,EEG Cp5,0.9631681307881506
512.0,EEG P3,EEG P4,0.9156923828846254
512.0,EEG P3,EEG Cp2,0.9004511730920925
512.0,EEG O1,EEG O2,0.9039767248709879
512.0,EEG Fc1,EEG Fc5,0.9182452590318227
512.0,EEG Fc1,EEG Cp1,0.9537715584318269
512.0,EEG Fc1,EEG Fz,0.9178410238093829
512.0,EEG Fc1,EEG Cz,0.9593576339727076
512.0,EEG Fc1,EEG Fc2,0.9321606265838707
512.0,EEG Fc1,EEG Cp2,0.9096559949948549
512.0,EEG Fc5,EEG Cp1,0.916692454309092
512.0,EEG Fc5,EEG Cp5,0.911390625567408
512.0,EEG Cp1,EEG Cp5,0.9474820325600342
512.0,EEG Cp1,EEG Cz,0.9458338137378265
512.0,EEG Cp1,EEG P4,0.9528132452142162
512.0,EEG Cp1,EEG Fc2,0.904156893820874
512.0,EEG Cp1,EEG Cp2,0.9405388713027902
512.0,EEG Cp1,EEG Cp6,0.9185113045693449
512.0,EEG Fz,EEG Cz,0.9180572385875686
512.0,EEG Fz,EEG Fc2,0.941678919240888
512.0,EEG Cz,EEG P4,0.9106818160797895
512.0,EEG Cz,EEG Fc2,0.9453073527188715
512.0,EEG Cz,EEG Cp2,0.9181576509967081
512.0,EEG C4,EEG P4,0.9412580124075233
512.0,EEG C4,EEG Fc2,0.9053035850501266
512.0,EEG C4,EEG Fc6,0.9023700231919839
512.0,EEG C4,EEG Cp2,0.9285641485188377
512.0,EEG C4,EEG Cp6,0.9298619585032534
512.0,EEG P4,EEG T6,0.9405161887526858
512.0,EEG P4,EEG Cp2,0.9504463346560382
512.0,EEG P4,EEG Cp6,0.9689368380650074
512.0,EEG T6,EEG Cp6,0.9524802598898856
512.0,EEG Fc2,EEG Cp2,0.9064445649978735
512.0,EEG Fc2,EEG Cp6,0.9054712501916146
512.0,EEG Cp2,EEG Cp6,0.9218909007787686
512.0,EKG EKG,B,0.9740072395806036
512.0,EKG EKG,C,0.9751765737563054
512.0,EKG EKG,D,0.9669552168062127
512.0,EEG P9,EEG P10,0.9917626243340402
512.0,EEG P9,61,0.9862236819822373
512.0,EEG P9,62,0.9883037834474618
512.0,EEG P9,63,0.9830683842594887
512.0,EEG P9,64,0.9838945893426644
512.0,EEG P10,61,0.9918440546982267
512.0,EEG P10,62,0.99239771580421
512.0,EEG P10,63,0.9899580703879988
512.0,EEG P10,64,0.9893472872524147
512.0,B,C,0.9748729199069446
512.0,B,D,0.9723129012763884
512.0,C,D,0.970512701050987
512.0,61,62,0.9934490900263687
512.0,61,63,0.9939525762532955
512.0,61,64,0.99246461093719
512.0,62,63,0.993004264276699
512.0,62,64,0.9933922326835722
512.0,63,64,0.9935410105849406
