channel,mean,std,min,max,peak_to_peak,median,q01,q05,q25,q75,q95,q99,iqr,mad,nan_count,inf_count,nan_inf_ratio,flatline_total_sec,flatline_ratio,flatline_longest_sec,saturation_ratio,robust_z_outlier_ratio,low_variance_flag,high_variance_flag,extreme_peak_to_peak_flag
EEG Fp1,7.885660816805369e-06,4.862854970871888e-05,-0.000418625,0.0004385,0.000857125,2.25e-06,-9.7625e-05,-4.6875e-05,-1.0875e-05,1.45e-05,9.499999999999999e-05,0.00021962499999999999,2.5375e-05,1.2625e-05,0,0,0.0,0.0,0.0,0.0,0.0,0.03111391600420856,False,False,False
EEG F3,9.73805186512706e-06,1.8536256862412938e-05,-0.00026825,0.001429875,0.001698125,8.5e-06,-3.95e-05,-1.5374999999999998e-05,1.625e-06,1.575e-05,4.1125e-05,7.5125e-05,1.4125e-05,7.000000000000001e-06,0,0,0.0,0.0,0.0,0.0,0.0,0.005048122588847323,False,False,False
EEG C3,7.153656298405718e-06,5.967382927176545e-06,-0.00015125,0.001542375,0.0016936249999999998,7.25e-06,-8.375e-06,-2.25e-06,3.7499999999999997e-06,1.0749999999999999e-05,1.6374999999999998e-05,2.1499999999999997e-05,6.999999999999999e-06,3.5000000000000004e-06,0,0,0.0,0.0,0.0,0.0,0.0,0.00024202858311900865,False,False,False
EEG P3,1.5048574993926455e-05,2.179665062791392e-05,-0.000269,0.000912125,0.0011811249999999999,1.4374999999999999e-05,-3.7375e-05,-7.875e-06,7.875e-06,2.0875e-05,3.75e-05,7.987499999999999e-05,1.3e-05,6.5000000000000004e-06,0,0,0.0,0.0,0.0,0.0,0.0,0.010575964095744681,False,False,False
EEG O1,0.0001262870535200546,5.388062391005996e-05,-0.00038774999999999997,0.00042937499999999996,0.0008171249999999999,0.00012325,3.6374999999999996e-05,5.0375e-05,8.0125e-05,0.00016925,0.000215625,0.000237875,8.9125e-05,4.45e-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
EEG F7,1.0026041476392626e-05,2.839910535999926e-05,-0.0008057499999999999,0.00147525,0.002281,8.75e-06,-7.3625e-05,-2.675e-05,3.75e-07,1.7e-05,5.4e-05,0.000114125,1.6625e-05,8.374999999999999e-06,0,0,0.0,0.0,0.0,0.0,0.0,0.01737970722761281,False,False,False
EEG T3,8.994133033065682e-06,1.2638133817393174e-05,-0.000503625,0.00154325,0.002046875,9.25e-06,-2.7374999999999998e-05,-9.75e-06,3e-06,1.525e-05,2.7249999999999998e-05,4.35e-05,1.225e-05,6.124999999999998e-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0014003408493102642,False,False,False
EEG T5,9.207046833444153e-06,1.3872673841145546e-05,-0.000181875,0.001555625,0.0017375,9.499999999999999e-06,-2.925e-05,-1.2625e-05,2.3749999999999997e-06,1.6625e-05,2.95e-05,4.4e-05,1.425e-05,7.125000000000002e-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0013423453209025018,False,False,False
EEG Fc1,1.4045418661499733e-05,0.0006051546559920535,-0.004096,0.004091875,0.008187875,1.6e-05,-0.0011833162499999997,-0.000923625,-0.0004655,0.000487125,0.000945125,0.0012322499999999998,0.0009526249999999999,0.000476625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
EEG Fc5,1.1121366003614893e-05,0.0006023350250015403,-0.004096,0.0040948749999999996,0.008190875,1.3e-05,-0.0011882499999999999,-0.0009201249999999999,-0.000464625,0.00048087499999999997,0.000936125,0.0012305,0.0009454999999999999,0.000473,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
