channel,total_power,delta_power,delta_ratio,theta_power,theta_ratio,alpha_power,alpha_ratio,beta_power,beta_ratio,gamma_power,gamma_ratio,low_freq_drift_ratio,high_freq_noise_ratio,line_50hz_ratio,line_60hz_ratio
EEG Fp1,1.0435879422066665e-10,6.051830625499804e-11,0.5799061469322085,1.006750279353951e-11,0.0964700950094515,2.944256142554543e-12,0.028212822546884873,4.4962542305659464e-12,0.043084574368103735,2.0291289407459703e-12,0.01944377525535009,0.18519973589392297,0.05833801999424612,0.0037610350537301863,0.0018363594969167548
EEG F3,3.3200961551376506e-11,1.058683240394198e-11,0.3188712588206064,3.140066271202858e-12,0.09457757018102601,1.874663103886646e-12,0.05646412080522779,4.3313900348551354e-12,0.13045977683967278,1.6008728880440577e-12,0.048217666393992914,0.16662757102320772,0.137597964889625,0.015569779628250884,0.0034612202987842644
EEG C3,2.280978610752346e-11,5.8539789547319415e-12,0.2566433077073483,3.173986085594265e-12,0.13915019065204537,2.6531563605613753e-12,0.11631658219216147,3.5910786593604733e-12,0.15743587609425286,5.080648966820889e-13,0.02227398776503702,0.17081598721403285,0.05847557982543911,0.007374596670568823,0.0010454192891203782
EEG P3,4.5257873319576584e-11,1.210338370439581e-11,0.26743156088954834,6.0844340716007914e-12,0.13443923952495865,7.532627372576316e-12,0.1664379437227783,7.594065744308334e-12,0.1677954615915077,8.260345878154215e-13,0.018251732289376373,0.1387111709862348,0.08537224684052645,0.053363026124920755,0.0005971859514094595
EEG O1,6.75434852651848e-11,2.1856460507060282e-11,0.32359094916776776,9.857508975700117e-12,0.1459431496168463,7.91770497262173e-12,0.11722381428106289,9.113074593699033e-12,0.13492159248104948,8.878135948720325e-13,0.013144326079507995,0.20817713934122734,0.029732009650766274,0.0058330477036668184,0.0004921239313453011
EEG F7,6.331994599809918e-11,2.1649532040571424e-11,0.34190698837963834,6.2931425574696686e-12,0.099386417001344,3.78435320223282e-12,0.05976557848527577,7.008862009391018e-12,0.11068963971639235,2.2221483331697588e-12,0.03509397075664698,0.2001150557130068,0.11455592113542089,0.011174235131519782,0.0028048716192661024
EEG T3,4.502430982180418e-11,1.3818399343396773e-11,0.30690974271647486,6.9457878226142835e-12,0.15426750238047196,4.8217072416900936e-12,0.10709119719487754,6.924003278515232e-12,0.15378366277948152,1.1061019203517787e-12,0.02456677125600536,0.1304760880060379,0.0911652982225551,0.021717258760752534,0.0018211561694623207
EEG T5,5.636978560559845e-11,1.6264516521792025e-11,0.2885325240651029,9.861498883069532e-12,0.17494299077288175,7.748865434966603e-12,0.1374648732777336,9.258037440568301e-12,0.16423758474697525,9.016379124440834e-13,0.01599505662044838,0.14228212691312922,0.03912409197849308,0.008449345821847476,0.0006063127177846465
EEG Fc1,8.757022104110675e-12,2.019334548890553e-12,0.2305960319481948,8.899363879652719e-13,0.10162545867590339,5.600008681611403e-13,0.06394877864911037,1.1293661468746288e-12,0.12896691745753247,1.953705228950419e-13,0.022310155275653824,0.17962524962926607,0.08129674522847809,0.03329245870403901,0.001022379546100007
EEG Fc5,3.9030518431537626e-11,1.182278952813757e-11,0.30291141402273725,4.6138783184129035e-12,0.11821206849983257,2.8358095524152256e-12,0.07265621022660619,5.110585458622614e-12,0.1309381905235759,1.2379773094684e-12,0.03171818769560805,0.183764108866791,0.10889258661051451,0.010850893275949134,0.002572386199455322
EEG Cp1,4.5854098898725456e-10,9.790734943461375e-12,0.021351929660825837,4.803413142849915e-12,0.010475428060332964,5.282189113938318e-12,0.011519557118775132,5.479240000159435e-12,0.01194929162660251,7.033867917458469e-13,0.00153396710139123,0.009376626887666516,0.5796776556974887,0.5761814360893883,6.583562002084045e-05
EEG Cp5,3.826859803643783e-11,9.921316742507201e-12,0.25925477419006887,6.368545716800029e-12,0.16641701142895682,5.812901988863446e-12,0.15189743777205095,7.062366517810065e-12,0.18454730197028807,8.000072046087092e-13,0.020905056512573947,0.12060167000857623,0.05579591296503614,0.009896483122282492,0.0010305054267909842
EEG F9,6.754336512334755e-11,2.689199173938724e-11,0.39814409143336493,8.338055236873848e-12,0.12344743590502057,4.538956043475453e-12,0.06720062044860249,8.295669995760783e-12,0.12281990955901069,2.6134439084022446e-12,0.038692829467847495,0.1331511284176721,0.12203994984701008,0.00959388151047578,0.003376974137014442
EEG Fz,1.5448381569794497e-11,4.3275735089448875e-12,0.2801311897555917,1.1025148393130015e-12,0.07136765973392951,4.657690655153396e-13,0.030150023380186068,7.337532657537793e-13,0.047497096212877926,1.632641526161915e-13,0.010568366134573884,0.17466045036000846,0.3518493104632679,0.32727584173817575,0.0006300499287173235
EEG Cz,1.3910805767790208e-11,3.8632670357646505e-12,0.2777169849290727,7.495836799715515e-13,0.05388499361461692,5.80672342034613e-13,0.04174253826324939,8.048755199904497e-13,0.057859733895077425,1.1663422891145156e-13,0.008384433717097281,0.35671906258950453,0.04562441669581711,0.02947272642121806,0.00036241045536535374
EEG Pz,2.6329457440981325e-09,9.796389881375015e-11,0.037206956897361323,2.3969960938757233e-11,0.009103856770496311,3.420802599318463e-11,0.012992301899825878,1.6237232161634454e-11,0.0061669452164105345,6.843404391245891e-12,0.0025991437182424637,0.019072760281012922,0.5503338342271991,0.5449054164088482,9.623963240399672e-05
EEG F4,2.8415573984479595e-11,8.21610200141467e-12,0.28914080728766034,2.8206475398366248e-12,0.09926414090305705,1.6379176955987675e-12,0.05764154883844288,3.8170022558440255e-12,0.13432782522460562,1.4265777837903491e-12,0.05020408120453723,0.1501385230965097,0.16845780720805623,0.025263196456928656,0.0043536922854002695
EEG C4,2.4264589821570782e-11,6.388042739456294e-12,0.2632660509174336,2.045307864931095e-12,0.08429187882305982,2.2818786536265282e-12,0.09404150947558897,2.9589055124122193e-12,0.12194335590135572,4.671927456007831e-13,0.01925409615560273,0.25242031397132225,0.07019920520958224,0.02041953318537281,0.0012480484016569855
EEG P4,3.567545963098047e-11,9.172071980709258e-12,0.25709751396571373,4.05247019711084e-12,0.11359265554049613,7.398797537369457e-12,0.20739179295518764,6.069394630920851e-12,0.17012800097606046,6.945171408433502e-13,0.01946764380970255,0.14382108645642686,0.054493761021666545,0.023535360528408603,0.0005238303057467656
EEG O2,5.398880747211178e-11,1.7760369439007025e-11,0.3289639143850555,8.711797768150955e-12,0.16136303385939915,7.192486237090071e-12,0.1332218023301476,8.156704655803321e-12,0.15108140071470763,8.200759587611854e-13,0.015189740191701774,0.14988015988838874,0.035676867126110096,0.008741330921783821,0.0005603396593765245
EEG F8,6.708245638738967e-11,2.0269391784205787e-11,0.3021563740473892,5.778572296937312e-12,0.08614133423449864,3.366442346671458e-12,0.05018364752821261,7.717991687273057e-12,0.11505231178034059,3.766650742253025e-12,0.0561495649548261,0.15650214788477793,0.20379049023980822,0.014177529338623606,0.0066273278944697575
EEG T4,6.050624515957452e-11,1.4013013225037007e-11,0.23159614661395966,6.019424770362008e-12,0.09948435495355627,4.515952054816815e-12,0.07463613124408548,7.775204032201702e-12,0.128502504356302,2.703535847817768e-12,0.04468193061208261,0.15730036097293362,0.17945274003703673,0.01246280908781651,0.004819991419132702
EEG T6,6.095515809202335e-11,1.8875391500773775e-11,0.30966028292926084,7.295371847423233e-12,0.11968424126485716,9.023690028887902e-12,0.14803816955514962,7.89020115796946e-12,0.12944271502106036,8.107387962832837e-13,0.013300577369667716,0.20471929710253317,0.03388243395630345,0.008412992802768507,0.0005386928054110702
EEG Fc2,7.67265927128006e-12,1.950688830489598e-12,0.2542389491725933,7.586945550967516e-13,0.09888286815194071,4.96032446360613e-13,0.06464935152501017,9.179705090381529e-13,0.11964176650907167,1.644343760525597e-13,0.021431210514985696,0.20471416390844224,0.12334083594649259,0.07273146725124077,0.0012523219483971488
EEG Fc6,4.224460183672938e-11,1.1258162365731236e-11,0.26649943131770454,3.864162704763668e-12,0.09147115931399284,2.769048392579185e-12,0.06554798180561021,4.627072006073695e-12,0.10953049158699155,1.2871377461182595e-12,0.0304686916234387,0.20564765266737242,0.18261203842921178,0.05925290089975914,0.002796414295106584
EEG Cp2,2.1788066457931518e-11,5.5466271016947995e-12,0.25457179104920796,2.41423105732248e-12,0.11080519980898197,3.960227502815332e-12,0.18176131004840446,3.632732218638204e-12,0.16673036249693368,4.1083877411923323e-13,0.018856137368246158,0.15991461118803252,0.06392690177577047,0.033453745312705646,0.0005264187165346517
EEG Cp6,1.1052155019838782e-10,1.3362374801042182e-11,0.12090288977178226,4.572424201001598e-12,0.041371336113129334,5.9892244756090295e-12,0.05419055799396844,5.976428113019641e-12,0.054074776387879685,8.082125397634563e-13,0.007312714473446154,0.08571906164575024,0.47971500322227184,0.463525980537218,0.00035087243864162667
EEG F10,7.907886100165379e-11,2.84032180182072e-11,0.3591758613925054,1.0275827453966508e-11,0.1299440498232721,5.3768459012222936e-12,0.06799346668776435,8.359377472118965e-12,0.10570938132181928,1.9608479961536026e-12,0.024796108230650857,0.19994423212809276,0.07999046772377669,0.008404160493548717,0.001880656838728301
EKG EKG,1.2486410027448337e-05,2.7819892158284407e-06,0.22280136642260776,1.757696754992687e-07,0.014076878391217476,6.791025706397854e-08,0.005438733544284894,6.353186823517992e-08,0.005088081209532648,1.6197815706303467e-08,0.0012972356082089653,0.4217550638408863,0.006964867441595199,0.004251636097626223,6.663190997407104e-05
SPO2,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
HR,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
1,2.204000186164687e-09,4.64820566969619e-10,0.2108986060379973,5.997179892921257e-10,0.2721043278747317,4.6038392390340555e-10,0.20888561026147065,5.432454723088729e-10,0.24648159093589142,7.284769821111183e-12,0.003305249185930355,0.014326494245250638,0.01168529039966953,0.0027321170502470206,0.0002659402887945377
2,3.549629796995726e-08,1.3540107942485524e-08,0.3814512700435793,2.660963033825096e-09,0.07496452266873677,3.9995717137200744e-09,0.11267574204794997,5.4797972357209824e-09,0.1543765842950405,2.1653138473308926e-10,0.0061001117614111,0.2359896084797282,0.007980861113870582,0.00018241264476145195,5.569462790968889e-05
EEG FP2,1.2125148935014413e-10,6.213592265229234e-11,0.5124549231132267,9.438122489398563e-12,0.07783922935695754,2.774102544591853e-12,0.022878915215473646,5.618350603379712e-12,0.046336343029612724,3.1637652580958594e-12,0.02609258884201985,0.2336890076444012,0.08539164861448947,0.00767762074994714,0.0023894593525066402
EEG P9,3.6455701940343665e-08,1.5990711913955993e-11,0.0004386340424914405,4.017327849460075e-12,0.00011019751741535674,4.162443950914112e-12,0.00011417813207178292,4.636927740915659e-12,0.00012719348398512685,1.4728431947362976e-12,4.0400900719082774e-05,0.000302359458866398,0.7285674217761118,0.7281906823487048,3.198264523364343e-06
EEG P10,3.813621132076071e-08,1.5358550652494716e-11,0.00040272880080601453,3.597840011237204e-12,9.434183120541396e-05,3.985869053757024e-12,0.00010451665007392027,4.637220967404394e-12,0.00012159626787257625,1.4336571370081522e-12,3.759306672993217e-05,0.0002806168255015221,0.7322159700881942,0.7318466223386405,3.0191813283706564e-06
MK,3.1230856719412356e-14,6.970709692632399e-15,0.22319943878771575,4.38977445278016e-16,0.014055888675162666,1.6870754682376453e-16,0.005401950652186238,1.573561341584436e-16,0.005038482791944506,4.039252192774595e-17,0.0012933529903020214,0.4243720854091415,0.0028060321574129923,9.559113242989154e-05,6.730368683628085e-05
