channel,mean,std,min,max,peak_to_peak,median,q01,q05,q25,q75,q95,q99,iqr,mad,nan_count,inf_count,nan_inf_ratio,flatline_total_sec,flatline_ratio,flatline_longest_sec,saturation_ratio,robust_z_outlier_ratio,low_variance_flag,high_variance_flag,extreme_peak_to_peak_flag
EEG Fp1,3.243367661672824e-07,2.2053362073266775e-05,-0.00046199999999999995,0.000755375,0.001217375,0.0,-5.9e-05,-2.1e-05,0.0,0.0,1.8625e-05,8.2375e-05,0.0,0.0,0,0,0.0,3704.990234375,0.6152426828330895,1345.998046875,0.0,0.0,False,False,False
EEG F3,1.9778785160790647e-06,1.7951861040856146e-05,-0.00027775,0.00047187499999999996,0.000749625,0.0,-4.225e-05,-1.175e-05,0.0,0.0,2.075e-05,5.7125e-05,0.0,0.0,0,0,0.0,3705.953125,0.6154025783723283,1345.998046875,0.0,0.0,False,False,False
EEG C3,1.4528156281784502e-06,1.2879351749371612e-05,-0.000291625,0.000489125,0.00078075,0.0,-3.1874999999999996e-05,-1.1125e-05,0.0,0.0,1.8e-05,3.925e-05,0.0,0.0,0,0,0.0,3705.990234375,0.6154087406750576,1345.998046875,0.0,0.0,False,False,False
EEG P3,2.368451582478827e-06,1.9895865046313323e-05,-0.000315375,0.000557625,0.000873,0.0,-4.675e-05,-1.8e-05,0.0,0.0,3.175e-05,6.324999999999999e-05,0.0,0.0,0,0,0.0,3705.990234375,0.6154087406750576,1345.998046875,0.0,0.0,False,False,False
EEG O1,2.049108246163805e-05,4.113363353171519e-05,-0.00038737499999999997,0.0015923749999999998,0.0019797499999999997,0.0,-1.475e-05,0.0,0.0,4.375e-05,7.675e-05,0.00012475,4.375e-05,0.0,0,0,0.0,3705.990234375,0.6154087406750576,1345.998046875,0.0,0.0,False,False,False
EEG F7,2.940246075263098e-06,2.2317529276478686e-05,-0.00067775,0.000539,0.00121675,0.0,-6.175e-05,-1.8874999999999998e-05,0.0,0.0,3.2375e-05,7.8375e-05,0.0,0.0,0,0,0.0,3705.490234375,0.6153257117540736,1345.998046875,0.0,0.0,False,False,False
EEG T3,2.136169007908502e-06,1.6039804753546035e-05,-0.000519625,0.0005402499999999999,0.001059875,0.0,-4.3375e-05,-1.4625e-05,0.0,0.0,2.4999999999999998e-05,5.4999999999999995e-05,0.0,0.0,0,0,0.0,3704.990234375,0.6152426828330895,1345.998046875,0.0,0.0,False,False,False
EEG T5,2.5459228029127593e-06,2.0362751212737017e-05,-0.00030575,0.0005067499999999999,0.0008124999999999999,0.0,-5.0625e-05,-1.625e-05,0.0,0.0,2.8624999999999998e-05,7.025e-05,0.0,0.0,0,0,0.0,3705.892578125,0.6153925240889279,1345.998046875,0.0,0.0,False,False,False
EEG Fc1,1.8284676563537842e-06,1.6901187509361533e-05,-0.00029749999999999997,0.000458625,0.000756125,0.0,-3.75e-05,-6.75e-06,0.0,1.125e-06,1.4874999999999999e-05,4.2875e-05,1.125e-06,0.0,0,0,0.0,3705.990234375,0.6154087406750576,1345.998046875,0.0,0.0,False,False,False
EEG Fc5,1.7160771831409837e-06,1.962969757651223e-05,-0.00037262499999999996,0.000474125,0.00084675,0.0,-5.0125e-05,-1.6625e-05,0.0,0.0,2.4e-05,6.0125e-05,0.0,0.0,0,0,0.0,3705.990234375,0.6154087406750576,1345.998046875,0.0,0.0,False,False,False
