sfreq,ch_a,ch_b,corr
512.0,EEG Fc1,EEG Fc5,0.9997215699145592
512.0,EEG Fc1,EEG Cp1,0.9997440651528345
512.0,EEG Fc1,EEG Cp5,0.9992558077314988
512.0,EEG Fc1,EEG F9,0.999643835408057
512.0,EEG Fc1,EEG Fc2,0.9998807503125599
512.0,EEG Fc1,EEG Fc6,0.9997015967292532
512.0,EEG Fc1,EEG Cp2,0.9997020259524649
512.0,EEG Fc1,EEG Cp6,0.9988072082557471
512.0,EEG Fc1,EEG F10,0.9992734134353419
512.0,EEG Fc1,EEG P9,0.9984412149111601
512.0,EEG Fc1,EEG P10,0.9988931079718617
512.0,EEG Fc1,61,0.9995041216879929
512.0,EEG Fc1,62,0.9987996243359308
512.0,EEG Fc1,63,0.9992387772952297
512.0,EEG Fc1,64,0.9958557121016112
512.0,EEG Fc5,EEG Cp1,0.999905262233699
512.0,EEG Fc5,EEG Cp5,0.9997086719031407
512.0,EEG Fc5,EEG F9,0.9997130620249172
512.0,EEG Fc5,EEG Fc2,0.9998225334913989
512.0,EEG Fc5,EEG Fc6,0.9998902710494085
512.0,EEG Fc5,EEG Cp2,0.9998213723023915
512.0,EEG Fc5,EEG Cp6,0.999417875584536
512.0,EEG Fc5,EEG F10,0.9995302909681781
512.0,EEG Fc5,EEG P9,0.9991226697200388
512.0,EEG Fc5,EEG P10,0.9994137910877063
512.0,EEG Fc5,61,0.9997262970765892
512.0,EEG Fc5,62,0.9993264467356112
512.0,EEG Fc5,63,0.9996186410506227
512.0,EEG Fc5,64,0.9971798894081104
512.0,EEG Cp1,EEG Cp5,0.9996783863180724
512.0,EEG Cp1,EEG F9,0.9997197519094609
512.0,EEG Cp1,EEG Fc2,0.9998357139758773
512.0,EEG Cp1,EEG Fc6,0.9998817097426531
512.0,EEG Cp1,EEG Cp2,0.9998132996216333
512.0,EEG Cp1,EEG Cp6,0.9993641821344806
512.0,EEG Cp1,EEG F10,0.9995078681456648
512.0,EEG Cp1,EEG P9,0.9990782748845151
512.0,EEG Cp1,EEG P10,0.9993853556391097
512.0,EEG Cp1,61,0.9997214110548976
512.0,EEG Cp1,62,0.9992881308321971
512.0,EEG Cp1,63,0.9996038726516849
512.0,EEG Cp1,64,0.9970770129625275
