sfreq,ch_a,ch_b,corr
512.0,EEG O1,EEG T5,0.9070209007150992
512.0,EEG Cp1,EEG CZ,0.9153990825747209
512.0,EEG Cp2,EEG CZ,0.9264335643699009
512.0,EEG P9,EEG P10,0.9967082656534157
512.0,EEG P9,61,0.9949794138098291
512.0,EEG P9,62,0.9968719397549587
512.0,EEG P9,63,0.9963133308869621
512.0,EEG P9,64,0.9953224399499527
512.0,EEG P9,3,0.9958582774460875
512.0,EEG P9,23,0.9960776814289294
512.0,EEG P9,33,0.9934257048415405
512.0,EEG P9,31,0.9963619155835186
512.0,EEG P10,61,0.9954782089100918
512.0,EEG P10,62,0.9971989413053587
512.0,EEG P10,63,0.9968862497385073
512.0,EEG P10,64,0.9955042747936531
512.0,EEG P10,3,0.9963200465233186
512.0,EEG P10,23,0.9964622572673463
512.0,EEG P10,33,0.9942198232636691
512.0,EEG P10,31,0.99675441911437
512.0,61,62,0.9953748681021878
512.0,61,63,0.9956392678777932
512.0,61,64,0.9931569933596389
512.0,61,3,0.9955771813712647
512.0,61,23,0.9953278533195693
512.0,61,33,0.9936395048000779
512.0,61,31,0.9951619053564636
512.0,62,63,0.9967857182298134
512.0,62,64,0.9958073709061802
512.0,62,3,0.996370514847248
512.0,62,23,0.9967379559232117
512.0,62,33,0.9941006102438699
512.0,62,31,0.9969268390634098
512.0,63,64,0.995030792633032
512.0,63,3,0.9964927585241077
512.0,63,23,0.9962613706719071
512.0,63,33,0.9949840470348003
512.0,63,31,0.9964272291562352
512.0,64,3,0.9936704754151893
512.0,64,23,0.9948479913687478
512.0,64,33,0.9911411670482014
512.0,64,31,0.995048523473405
512.0,3,23,0.996009532413243
512.0,3,33,0.9955974511482725
512.0,3,31,0.9961447210678208
512.0,23,33,0.9940162276609368
512.0,23,31,0.9960726975681751
512.0,33,31,0.9941384263341857
512.0,A,B,0.9335901547458487
512.0,A,C,0.9436280978036711
512.0,A,D,0.9266869617237962
512.0,B,C,0.9336162577623486
512.0,B,D,0.9335464850275779
512.0,C,D,0.9320833818168326
