sfreq,ch_a,ch_b,corr
512.0,EEG Fc1,EEG Fc5,0.9405558208283387
512.0,EEG Fc1,EEG Cp1,0.9439322813809371
512.0,EEG Fc1,EEG Cp5,0.9411490490517418
512.0,EEG Fc1,EEG F9,0.9419601560375961
512.0,EEG Fc1,EEG Fc2,0.9443076265260366
512.0,EEG Fc1,EEG Fc6,0.9410556102319572
512.0,EEG Fc1,EEG Cp2,0.9450425131287766
512.0,EEG Fc1,EEG Cp6,0.9412168018180478
512.0,EEG Fc1,EEG F10,0.946160496876932
512.0,EEG Fc1,EEG P9,0.9409558420843535
512.0,EEG Fc1,EEG P10,0.9480486850987964
512.0,EEG Fc1,61,0.9477245911608053
512.0,EEG Fc1,62,0.9421173104689372
512.0,EEG Fc1,63,0.9503654488191616
512.0,EEG Fc1,64,0.9410899200521992
512.0,EEG Fc5,EEG Cp1,0.9414181549249488
512.0,EEG Fc5,EEG Cp5,0.9364625370418374
512.0,EEG Fc5,EEG F9,0.9377118464962602
512.0,EEG Fc5,EEG Fc2,0.9407165217907374
512.0,EEG Fc5,EEG Fc6,0.9410854382106325
512.0,EEG Fc5,EEG Cp2,0.9453147789136684
512.0,EEG Fc5,EEG Cp6,0.9386335763828254
512.0,EEG Fc5,EEG F10,0.937479831776367
512.0,EEG Fc5,EEG P9,0.9404170621876176
512.0,EEG Fc5,EEG P10,0.9466380891258194
512.0,EEG Fc5,61,0.9419833767429332
512.0,EEG Fc5,62,0.9420674631431533
512.0,EEG Fc5,63,0.9475722601280089
512.0,EEG Fc5,64,0.939347215927701
512.0,EEG Cp1,EEG Cp5,0.9422117930617344
512.0,EEG Cp1,EEG F9,0.9422046267647959
512.0,EEG Cp1,EEG Fc2,0.9456649493971692
512.0,EEG Cp1,EEG Fc6,0.9447298428517389
512.0,EEG Cp1,EEG Cp2,0.9464991546275016
512.0,EEG Cp1,EEG Cp6,0.9431147278207251
512.0,EEG Cp1,EEG F10,0.945326237644906
512.0,EEG Cp1,EEG P9,0.9421700659754182
512.0,EEG Cp1,EEG P10,0.9508216902911291
512.0,EEG Cp1,61,0.9476601821139435
