sfreq,ch_a,ch_b,corr
512.0,EEG Fc1,EEG Fc5,0.9190588816616723
512.0,EEG Fc1,EEG Cp1,0.9251482693150874
512.0,EEG Fc1,EEG Cp5,0.9146432319017878
512.0,EEG Fc1,EEG F9,0.9214535676447916
512.0,EEG Fc1,EEG Fc2,0.9288865429562958
512.0,EEG Fc1,EEG Fc6,0.9197256266543186
512.0,EEG Fc1,EEG Cp2,0.9283146119400124
512.0,EEG Fc1,EEG Cp6,0.9198158926542273
512.0,EEG Fc1,EEG F10,0.9272364342104047
512.0,EEG Fc1,EEG P9,0.9166841891607288
512.0,EEG Fc1,EEG P10,0.9315454463953136
512.0,EEG Fc1,61,0.927227868209942
512.0,EEG Fc1,62,0.9267339561999527
512.0,EEG Fc1,63,0.9294193677986214
512.0,EEG Fc1,64,0.9262640683549607
512.0,EEG Fc5,EEG Cp1,0.9275866634068982
512.0,EEG Fc5,EEG Cp5,0.9182698672471755
512.0,EEG Fc5,EEG F9,0.9183089799330202
512.0,EEG Fc5,EEG Fc2,0.9252725655861814
512.0,EEG Fc5,EEG Fc6,0.9199487368704544
512.0,EEG Fc5,EEG Cp2,0.9277650284956129
512.0,EEG Fc5,EEG Cp6,0.9201556475016379
512.0,EEG Fc5,EEG F10,0.9214687532478287
512.0,EEG Fc5,EEG P9,0.9188560908930713
512.0,EEG Fc5,EEG P10,0.928147033031786
512.0,EEG Fc5,61,0.9216800351180046
512.0,EEG Fc5,62,0.9285946829819319
512.0,EEG Fc5,63,0.9316499770794856
512.0,EEG Fc5,64,0.9221564900564717
512.0,EEG Cp1,EEG Cp5,0.9234364461229319
512.0,EEG Cp1,EEG F9,0.9243757740083187
512.0,EEG Cp1,EEG Fc2,0.9318839114798338
512.0,EEG Cp1,EEG Fc6,0.9271043306751355
512.0,EEG Cp1,EEG Cp2,0.932346731701683
512.0,EEG Cp1,EEG Cp6,0.9271364290795061
512.0,EEG Cp1,EEG F10,0.9297125218387544
512.0,EEG Cp1,EEG P9,0.9264121975753409
512.0,EEG Cp1,EEG P10,0.934308627718114
512.0,EEG Cp1,61,0.9292666824675407
512.0,EEG Cp1,62,0.9313887318436599
512.0,EEG Cp1,63,0.9395722027933912
512.0,EEG Cp1,64,0.9260395481853498
512.0,EEG Cp5,EEG F9,0.9172694938399121
512.0,EEG Cp5,EEG Fc2,0.9241572978004823
512.0,EEG Cp5,EEG Fc6,0.9174974403347923
512.0,EEG Cp5,EEG Cp2,0.924546985466508
512.0,EEG Cp5,EEG Cp6,0.9182150496013439
512.0,EEG Cp5,EEG F10,0.9171717853921897
512.0,EEG Cp5,EEG P9,0.9224794814643504
512.0,EEG Cp5,EEG P10,0.9284508752381457
512.0,EEG Cp5,61,0.9203813934497335
512.0,EEG Cp5,62,0.9231529761499288
512.0,EEG Cp5,63,0.9290724365342079
512.0,EEG Cp5,64,0.9205780433942178
512.0,EEG F9,EEG Fc2,0.9234552154048744
512.0,EEG F9,EEG Fc6,0.9188731004417943
512.0,EEG F9,EEG Cp2,0.9288509165172409
512.0,EEG F9,EEG Cp6,0.924889955493852
512.0,EEG F9,EEG F10,0.9213080583300205
512.0,EEG F9,EEG P9,0.9177606776747992
512.0,EEG F9,EEG P10,0.9293869460787949
512.0,EEG F9,61,0.9274920703840569
512.0,EEG F9,62,0.9257220417709642
512.0,EEG F9,63,0.933475009023623
512.0,EEG F9,64,0.9205831625588161
512.0,EEG Fc2,EEG Fc6,0.9240137906271693
512.0,EEG Fc2,EEG Cp2,0.9328988784764753
512.0,EEG Fc2,EEG Cp6,0.928096892686538
512.0,EEG Fc2,EEG F10,0.9283793769374656
512.0,EEG Fc2,EEG P9,0.9222169356463964
512.0,EEG Fc2,EEG P10,0.9362364168517795
512.0,EEG Fc2,61,0.9300029710296409
512.0,EEG Fc2,62,0.9262106997110651
512.0,EEG Fc2,63,0.937551475135375
512.0,EEG Fc2,64,0.9291534650524677
512.0,EEG Fc6,EEG Cp2,0.9270370890964487
512.0,EEG Fc6,EEG Cp6,0.9255941997602442
512.0,EEG Fc6,EEG F10,0.9195761299642686
512.0,EEG Fc6,EEG P9,0.9215799666055476
512.0,EEG Fc6,EEG P10,0.9298693119727278
512.0,EEG Fc6,61,0.9257446520789961
512.0,EEG Fc6,62,0.9240505650632302
512.0,EEG Fc6,63,0.933202152620033
512.0,EEG Fc6,64,0.9250672120136022
512.0,EEG Cp2,EEG Cp6,0.9284640690060858
512.0,EEG Cp2,EEG F10,0.9313212170065491
512.0,EEG Cp2,EEG P9,0.927007835659116
512.0,EEG Cp2,EEG P10,0.9359921079044744
512.0,EEG Cp2,61,0.9307317915814967
512.0,EEG Cp2,62,0.9349324021478476
512.0,EEG Cp2,63,0.9405658686068488
512.0,EEG Cp2,64,0.9308459782272472
512.0,EEG Cp6,EEG F10,0.9233512999678416
512.0,EEG Cp6,EEG P9,0.9228993027413794
512.0,EEG Cp6,EEG P10,0.9314162670967596
512.0,EEG Cp6,61,0.923292248300555
512.0,EEG Cp6,62,0.9259760099727912
512.0,EEG Cp6,63,0.9329476495185118
512.0,EEG Cp6,64,0.9243836801832236
512.0,EEG F10,EEG P9,0.9219458058498119
512.0,EEG F10,EEG P10,0.93193072024828
512.0,EEG F10,61,0.9262034944274199
512.0,EEG F10,62,0.92905684206247
512.0,EEG F10,63,0.9331305887556008
512.0,EEG F10,64,0.927046669032435
512.0,EEG P9,EEG P10,0.9317111040199597
512.0,EEG P9,61,0.9262822738002796
512.0,EEG P9,62,0.9284907629018277
512.0,EEG P9,63,0.9347593925233928
512.0,EEG P9,64,0.9266352349721769
512.0,EEG P10,61,0.9333420508338952
512.0,EEG P10,62,0.9334785183456527
512.0,EEG P10,63,0.9421793185516314
512.0,EEG P10,64,0.9307785162948765
512.0,61,62,0.9302775515740163
512.0,61,63,0.9394105279386297
512.0,61,64,0.9273737831019805
512.0,62,63,0.9401837663876274
512.0,62,64,0.9326253431622092
512.0,63,64,0.9349940716032931
