sfreq,ch_a,ch_b,corr
512.0,EEG Fp1,EEG FP2,0.9553396158932297
512.0,EEG C3,EEG P3,0.923885337836143
512.0,EEG C3,EEG Fc1,0.9274995028429515
512.0,EEG C3,EEG Cp1,0.9274755738467929
512.0,EEG C3,EEG Cp5,0.9189270356787359
512.0,EEG C3,EEG Cp2,0.9038528593939734
512.0,EEG P3,EEG O1,0.9708145406671185
512.0,EEG P3,EEG T5,0.9775859364586721
512.0,EEG P3,EEG Fc1,0.9580089055281849
512.0,EEG P3,EEG Fc5,0.9111661718273547
512.0,EEG P3,EEG Cp1,0.9778498337460722
512.0,EEG P3,EEG Cp5,0.9871576722933717
512.0,EEG P3,EEG F9,0.9176034531618459
512.0,EEG P3,EEG Fz,0.9100504628861636
512.0,EEG P3,EEG P4,0.9719400818134482
512.0,EEG P3,EEG O2,0.9678713881470805
512.0,EEG P3,EEG T6,0.9640735865061061
512.0,EEG P3,EEG Fc2,0.9500362035403158
512.0,EEG P3,EEG Cp2,0.9771817760365014
512.0,EEG P3,EEG T3,0.9225452555630387
512.0,EEG O1,EEG T5,0.9763544040486356
512.0,EEG O1,EEG Fc1,0.9109103737406494
512.0,EEG O1,EEG Cp1,0.9426063959332739
512.0,EEG O1,EEG Cp5,0.9528092140704828
512.0,EEG O1,EEG F9,0.9064108550900739
512.0,EEG O1,EEG P4,0.9614632554346079
512.0,EEG O1,EEG O2,0.9800514201211435
512.0,EEG O1,EEG T6,0.9670232207078747
512.0,EEG O1,EEG Fc2,0.9205286290367002
512.0,EEG O1,EEG Cp2,0.9539737111913161
512.0,EEG O1,EEG T3,0.9244165662672192
512.0,EEG F7,EEG Fc5,0.90150247828251
512.0,EEG T5,EEG Fc1,0.922297526068313
512.0,EEG T5,EEG Cp1,0.9515045047746167
512.0,EEG T5,EEG Cp5,0.9674428457817869
512.0,EEG T5,EEG F9,0.9279121829077247
512.0,EEG T5,EEG P4,0.9599059551123492
512.0,EEG T5,EEG O2,0.9659035402562195
512.0,EEG T5,EEG T6,0.9646892574073903
512.0,EEG T5,EEG Fc2,0.9212726405318891
512.0,EEG T5,EEG Cp2,0.9555873877607618
512.0,EEG T5,EEG T3,0.9402290732089517
512.0,EEG Fc1,EEG Fc5,0.9104941148093707
512.0,EEG Fc1,EEG Cp1,0.9736821452613065
512.0,EEG Fc1,EEG Cp5,0.9458700531069534
512.0,EEG Fc1,EEG Fz,0.9745947512413763
512.0,EEG Fc1,EEG P4,0.9420726491685874
512.0,EEG Fc1,EEG O2,0.910179924187747
512.0,EEG Fc1,EEG T6,0.9126859135292945
512.0,EEG Fc1,EEG Fc2,0.9659684628124079
512.0,EEG Fc1,EEG Cp2,0.9650205257044104
512.0,EEG Fc5,EEG Cp1,0.900621500804719
512.0,EEG Fc5,EEG Cp5,0.9072896656869142
512.0,EEG Fc5,EEG T3,0.9163281628866822
512.0,EEG Cp1,EEG Cp5,0.9659240983755413
512.0,EEG Cp1,EEG Fz,0.9324842915064266
512.0,EEG Cp1,EEG P4,0.9621435314623703
512.0,EEG Cp1,EEG O2,0.9389907716858121
512.0,EEG Cp1,EEG T6,0.940688411871452
512.0,EEG Cp1,EEG Fc2,0.9538570076772283
512.0,EEG Cp1,EEG Cp2,0.9731292602319407
512.0,EEG Cp1,EEG T3,0.9000147142358789
512.0,EEG Cp5,EEG F9,0.9148428497898289
512.0,EEG Cp5,EEG P4,0.9508356393311836
512.0,EEG Cp5,EEG O2,0.9468917721184379
512.0,EEG Cp5,EEG T6,0.9440916784624719
512.0,EEG Cp5,EEG Fc2,0.9288493418191186
512.0,EEG Cp5,EEG Cp2,0.9562323123598955
512.0,EEG Cp5,EEG T3,0.9014199297548338
512.0,EEG F9,EEG O2,0.9121389380664432
512.0,EEG F9,EEG T3,0.9362286573463384
512.0,EEG Fz,EEG Fc2,0.956686708539167
512.0,EEG Fz,EEG Cp2,0.9317425254940648
512.0,EEG C4,EEG P4,0.9030435917953795
512.0,EEG C4,EEG Fc2,0.9155729032032646
512.0,EEG C4,EEG Cp2,0.914582448440673
512.0,EEG P4,EEG O2,0.9693782490991689
512.0,EEG P4,EEG T6,0.9766140588038826
512.0,EEG P4,EEG Fc2,0.9578854643070773
512.0,EEG P4,EEG Cp2,0.9860390611730654
512.0,EEG P4,EEG T3,0.9097826889442719
512.0,EEG O2,EEG T4,0.9236012596762069
512.0,EEG O2,EEG T6,0.9746331339594753
512.0,EEG O2,EEG Fc2,0.9256492576969815
512.0,EEG O2,EEG Cp2,0.9594687126751427
512.0,EEG O2,EEG T3,0.932435996660416
512.0,EEG T4,EEG T6,0.9277338592210237
512.0,EEG T6,EEG Fc2,0.9323686218587733
512.0,EEG T6,EEG Cp2,0.9673946266606805
512.0,EEG T6,EEG T3,0.9136803855893731
512.0,EEG Fc2,EEG Cp2,0.9774289765532719
512.0,EEG Cp2,EEG T3,0.9076144394334541
512.0,EEG P9,EEG P10,0.9986876733648564
512.0,EEG P9,61,0.9981390307603022
512.0,EEG P9,62,0.9987727991170959
512.0,EEG P9,63,0.9983778871241735
512.0,EEG P9,64,0.99781319599707
512.0,EEG P9,3,0.9982113938048377
512.0,EEG P9,23,0.9985424724578152
512.0,EEG P9,33,0.9954879741791933
512.0,EEG P9,31,0.9986319428498914
512.0,EEG P10,61,0.9983541430576516
512.0,EEG P10,62,0.998793588156557
512.0,EEG P10,63,0.998758099539028
512.0,EEG P10,64,0.9978964348637687
512.0,EEG P10,3,0.9985448672860634
512.0,EEG P10,23,0.9987154718818928
512.0,EEG P10,33,0.9964632194332502
512.0,EEG P10,31,0.9987442700153023
512.0,61,62,0.9982170622574743
512.0,61,63,0.9983768511174093
512.0,61,64,0.9971000664909974
512.0,61,3,0.9982464439848343
512.0,61,23,0.9982789396664263
512.0,61,33,0.9966811351507481
512.0,61,31,0.9983987745894313
512.0,62,63,0.9985514861098316
512.0,62,64,0.9982896161995375
512.0,62,3,0.9981244636003697
512.0,62,23,0.9985933164016274
512.0,62,33,0.9955827549949539
512.0,62,31,0.9986553027463799
512.0,63,64,0.9976727659211179
512.0,63,3,0.9983677708238331
512.0,63,23,0.9986183872959276
512.0,63,33,0.9968099282689246
512.0,63,31,0.9986050864027691
512.0,64,3,0.9966754580166555
512.0,64,23,0.9974452457189354
512.0,64,33,0.9937369218636567
512.0,64,31,0.9976537911380199
512.0,3,23,0.9985376779097146
512.0,3,33,0.9973497912403848
512.0,3,31,0.998552254284363
512.0,23,33,0.9965441383724153
512.0,23,31,0.9986323163470887
512.0,33,31,0.9964454475965473
512.0,B,C,0.9001078701839348
